subid,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT
61088cda72a1106216fa4858,1,0.01,0.01,1,0.01,3.201,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,2,0.01,0.03,1,0.01,1.9175,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,3,0.05,0.02,0,0.02,2.4074,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,4,0.04,0.04,0,0.04,2.1587,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,5,0.01,0.03,1,0.01,2.0217,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,6,0.05,0.05,1,0.05,2.8389,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,7,0.05,0.03,0,0.03,2.1583,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,8,0.03,0.02,0,0.02,1.9423,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,9,0.02,0.01,0,0.01,2.0901,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,10,0.03,0.01,0,0.01,2.2775,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,11,0.02,0.02,0,0.02,2.2705,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,12,0.03,0.04,1,0.03,2.8422,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,13,0.04,0.02,0,0.02,1.714,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,14,0.03,0.03,1,0.03,2.3402,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,15,0.01,0.04,1,0.01,2.1794,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,16,0.05,0.04,0,0.04,1.9046,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,17,0.02,0.05,1,0.02,2.4096,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,18,0.04,0.01,1,0.04,3.1304,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,19,0.03,0.01,0,0.01,2.4376,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,20,0.03,0.05,1,0.03,2.0961,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,21,0.04,0.05,1,0.04,1.6068,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,22,0.02,0.05,1,0.02,2.005,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,23,0.01,0.05,1,0.01,1.906,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,24,0.05,0.01,0,0.01,1.5918,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,25,0.03,0.03,1,0.03,2.1606,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,26,0.02,0.04,1,0.02,1.9739,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,27,0.01,0.01,0,0.01,1.5736,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,28,0.04,0.03,1,0.04,2.2652,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,29,0.05,0.05,0,0.05,3.7907,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,30,0.03,0.05,1,0.03,1.4636,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,31,0.02,0.03,1,0.02,2.3492,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,32,0.02,0.03,0,0.03,2.0377,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,33,0.04,0.01,0,0.01,1.7967,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,34,0.05,0.01,1,0.05,2.4282,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,35,0.04,0.04,1,0.04,3.7468,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,36,0.05,0.04,0,0.04,2.0305,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,37,0.04,0.02,0,0.02,1.9084,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,38,0.05,0.02,0,0.02,2.0792,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,39,0.03,0.02,0,0.02,2.357,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,40,0.04,0.03,0,0.03,3.6411,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,41,0.03,0.04,1,0.03,1.7842,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,42,0.04,0.05,1,0.04,2.7426,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,43,0.02,0.01,0,0.01,1.8487,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,44,0.02,0.04,1,0.02,2.2525,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,45,0.01,0.04,1,0.01,2.2493,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,46,0.05,0.03,0,0.03,2.2784,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,47,0.01,0.02,1,0.01,1.5602,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,48,0.01,0.05,1,0.01,2.1474,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,49,0.01,0.02,1,0.01,2.9751,25,6.583333333,45,12,15,9,9
61088cda72a1106216fa4858,50,0.02,0.02,0,0.02,2.5335,25,6.583333333,45,12,15,9,9
6101667971d68405d105698a,1,0.01,0.01,0,0.01,3.209,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,2,0.03,0.02,0,0.02,2.1877,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,3,0.01,0.02,0,0.02,3.7637,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,4,0.03,0.02,0,0.02,2.5129,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,5,0.03,0.01,0,0.01,2.7678,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,6,0.02,0.04,1,0.02,5.3061,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,7,0.02,0.05,1,0.02,2.0486,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,8,0.02,0.03,0,0.03,2.3897,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,9,0.04,0.03,0,0.03,1.8939,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,10,0.04,0.04,0,0.04,2.8804,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,11,0.05,0.01,0,0.01,2.9105,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,12,0.01,0.04,1,0.01,2.2477,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,13,0.02,0.02,0,0.02,2.1094,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,14,0.01,0.05,1,0.01,2.4138,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,15,0.03,0.05,1,0.03,2.1106,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,16,0.03,0.04,1,0.03,2.5144,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,17,0.02,0.04,1,0.02,2.2139,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,18,0.01,0.03,1,0.01,2.699,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,19,0.03,0.04,1,0.03,2.6665,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,20,0.03,0.01,0,0.01,2.9155,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,21,0.05,0.05,0,0.05,2.0316,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,22,0.04,0.05,1,0.04,2.3305,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,23,0.02,0.05,1,0.02,1.9776,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,24,0.01,0.04,1,0.01,3.3081,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,25,0.02,0.03,1,0.02,4.0152,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,26,0.05,0.02,0,0.02,2.8584,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,27,0.02,0.01,1,0.02,3.821,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,28,0.05,0.02,0,0.02,2.5486,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,29,0.05,0.01,0,0.01,2.6146,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,30,0.05,0.04,0,0.04,2.451,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,31,0.05,0.03,0,0.03,3.6217,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,32,0.05,0.05,0,0.05,2.9504,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,33,0.04,0.04,0,0.04,2.2531,24,4.416666667,76,25,18,14,19
6101667971d68405d105698a,34,0.03,0.05,1,0.03,2.0836,24,4.416666667,76,25,18,14,19
