participant,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT
549ea92efdf99b4ffa5fa208,0.032,0.030333333,0.64,0.91,0.4,0.6,1,0,26,4,78,24,26,15,13
55a43687fdf99b7da1908e0f,0.018888889,0.01826087,0.51,0.42,0.54,0.46,1,1,16,7,74,18,24,9,23
55ea70c37480920010aa9982,0.031,0.02925,0.31,1.17,0.2,0.8,1,0,17,5.75,45,11,6,5,23
566c9284d408ea000519c6d7,0.018888889,0.017826087,0.51,0.41,0.54,0.46,1,1,5,7,76,20,28,4,24
56f745653bd969000d170c15,0.033333333,0.028928571,0.7,0.81,0.428571429,0.571428571,1,0,32,4.916666667,70,20,15,15,20
57e972d7c3e5930001447bb1,0.03,0.028235294,0.99,0.48,0.66,0.34,1,1,23,4.25,80,21,22,22,15
58ab75c4ef58a9000119d16c,0.023684211,0.022666667,0.45,0.68,0.387755102,0.612244898,1,0,20,6,81,19,22,22,18
5c510d1310223b00012fa23e,0.028684211,0.025,1.09,0.3,0.76,0.24,1,1,22,1.25,60,18,20,12,10
5cb33d40f173240019513957,0.022592593,0.02,0.61,0.46,0.54,0.46,1,1,20,3,75,22,19,18,16
5cc166b25899270017dd60e2,0.032173913,0.028888889,0.74,0.78,0.46,0.54,1,0,19,2.5,72,22,23,7,20
5cfecc1e96681500168a1799,0.038695652,0.036666667,0.89,0.99,0.46,0.54,1,0,23,1.333333333,77,20,20,19,18
5d305152b2cfe00019231a2a,0.029230769,0.025833333,0.76,0.62,0.52,0.48,1,1,22,2.416666667,61,14,20,10,17
5da23c68cf775d001724d361,0.016956522,0.019259259,0.39,0.52,0.46,0.54,0,0,21,5.666666667,74,22,21,16,15
5dd48444dd9a7447d224cc71,0.027142857,0.01375,1.14,0.11,0.84,0.16,1,1,10,7,73,13,28,14,18
5e27868c5cbbcc0b3599574b,0.028518519,0.02826087,0.77,0.65,0.54,0.46,1,1,19,5,59,16,15,13,15
5e31740eb3f28315c5e0d347,0.03173913,0.028846154,0.73,0.75,0.469387755,0.530612245,1,0,17,5,59,16,13,14,16
5e3760815bfa436fd256b2e9,0.023846154,0.02125,0.62,0.51,0.52,0.48,1,1,27,4.416666667,61,17,20,13,11
5e5e9f949ec7440200735db7,0.026666667,0.024782609,0.72,0.57,0.54,0.46,1,1,12,5.333333333,82,18,24,19,21
5e76742575ad9c0506e721bb,0.0325,0.028965517,0.52,0.84,0.355555556,0.644444444,1,0,25,6.083333333,64,16,21,16,11
5ea3310bf9c4f828f0c909c5,0.030769231,0.029,1.2,0.29,0.795918367,0.204081633,1,1,26,5.666666667,92,19,28,19,26
5ee1bc2e2be5f61f0eaf1713,0.0276,0.028,0.69,0.7,0.5,0.5,0,0,19,5.333333333,65,16,23,12,14
5eeaff28cf5da71d691ef212,0.0275,0.028809524,0.22,1.21,0.16,0.84,0,0,31,1.5,90,20,26,26,18
5ef76ff7d195c248bfe2511,0.032105263,0.030833333,1.22,0.37,0.76,0.24,1,1,26,3.25,57,20,5,22,10
5f12b3a2791d172281e7d6a9,0.028214286,0.024545455,0.79,0.54,0.56,0.44,1,1,16,5.416666667,77,21,27,13,16
5f18b5343b9a080d1e17db57,0.027272727,0.026666667,0.3,1.04,0.22,0.78,1,0,33,4.416666667,75,27,20,6,22
5f248a2f46a10507b20d9f17,0.032380952,0.025862069,0.68,0.75,0.42,0.58,1,0,30,4.083333333,54,14,12,14,14
5f2dc46d6fa1250ee8a1a15d,0.035333333,0.036315789,1.06,0.69,0.612244898,0.387755102,0,1,11,6.5,60,19,16,8,17
5f3ac1732efa0a74f975b1a8,0.022666667,0.021,0.68,0.42,0.6,0.4,1,1,4,6,36,1,9,0,26
5f4cc1ded01b151cbb03c0f8,0.026969697,0.025882353,0.89,0.44,0.66,0.34,1,1,9,6.416666667,77,17,24,13,23
5f4ced34dbc54406d1684da0,0.029761905,0.03375,1.25,0.27,0.84,0.16,0,1,11,6.333333333,76,17,28,9,22
5f4ee0e82f0d6c12d692c29b,0.027878788,0.028823529,0.92,0.49,0.66,0.34,0,1,21,4.583333333,71,17,23,19,12
5f50dc440305bb077d82eca4,0.040416667,0.035238095,0.97,0.74,0.533333333,0.466666667,1,1,21,5.916666667,61,17,19,11,14
5f53216409e6d06275ef0545,0.036451613,0.038235294,1.13,0.65,0.645833333,0.354166667,0,1,20,6.5,72,18,20,16,18
5f5f09ebf7e0497dcdb37dee,0.04,0.037826087,1.08,0.87,0.54,0.46,1,1,22,5.666666667,63,18,17,14,14
5f647f4d6443f82231b6bc78,0.01952381,0.019655172,0.41,0.57,0.42,0.58,0,0,19,5.583333333,72,23,17,13,19
5f68d7190611d306d40d4b58,0.034230769,0.03,0.89,0.69,0.530612245,0.469387755,1,1,15,7,67,8,28,3,28
5f6ea39029ca174064215ac2,0.028965517,0.026190476,0.84,0.55,0.58,0.42,1,1,25,5.416666667,81,22,20,20,19
5f7e4fbc36d39211c80599fe,0.035263158,0.028333333,0.67,0.85,0.387755102,0.612244898,1,0,29,5.5,68,15,18,16,19
5f8dd51f6d2378145bf99cdc,0.034117647,0.03,0.58,0.9,0.361702128,0.638297872,1,0,17,5.166666667,51,17,19,3,12
5fbd2fffbbfb2d070580d353,0.028421053,0.028387097,0.54,0.88,0.38,0.62,1,0,21,6.666666667,72,27,21,11,13
5fcd31e19fd435c2162f2869,0.026,0.020666667,0.91,0.31,0.7,0.3,1,1,7,6.333333333,85,28,26,9,22
5ff0a56b116bbf440e520992,0.037692308,0.031363636,0.98,0.69,0.541666667,0.458333333,1,1,15,7,77,16,27,7,27
5ff37f2588f05799fa9a9873,0.028928571,0.0245,0.81,0.49,0.583333333,0.416666667,1,1,12,6.583333333,87,21,26,20,20
600ecc3692aa597c9a274833,0.02375,0.022307692,0.57,0.58,0.48,0.52,1,0,24,5.666666667,78,22,25,12,19
6016f95c56f32e8df6e841af,0.016521739,0.01962963,0.38,0.53,0.46,0.54,0,0,13,4.416666667,51,8,16,8,19
604557dd82b57569031a1da8,0.029090909,0.027058824,0.96,0.46,0.66,0.34,1,1,14,5.583333333,62,16,20,11,15
