participant,sum_spent,S_NS,avg_spent,prop,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,moresocial,prop_moresocial
549ea92efdf99b4ffa5fa208,0.64,Social,0.032,0.4,26,4,78,24,26,15,13,1,0
55a43687fdf99b7da1908e0f,0.51,Social,0.018888889,0.54,16,7,74,18,24,9,23,1,1
55ea70c37480920010aa9982,0.31,Social,0.031,0.2,17,5.75,45,11,6,5,23,1,0
566c9284d408ea000519c6d7,0.51,Social,0.018888889,0.54,5,7,76,20,28,4,24,1,1
56f745653bd969000d170c15,0.7,Social,0.033333333,0.428571429,32,4.916666667,70,20,15,15,20,1,0
57e972d7c3e5930001447bb1,0.99,Social,0.03,0.66,23,4.25,80,21,22,22,15,1,1
58ab75c4ef58a9000119d16c,0.45,Social,0.023684211,0.387755102,20,6,81,19,22,22,18,1,0
5c510d1310223b00012fa23e,1.09,Social,0.028684211,0.76,22,1.25,60,18,20,12,10,1,1
5cb33d40f173240019513957,0.61,Social,0.022592593,0.54,20,3,75,22,19,18,16,1,1
5cc166b25899270017dd60e2,0.74,Social,0.032173913,0.46,19,2.5,72,22,23,7,20,1,0
5cfecc1e96681500168a1799,0.89,Social,0.038695652,0.46,23,1.333333333,77,20,20,19,18,1,0
5d305152b2cfe00019231a2a,0.76,Social,0.029230769,0.52,22,2.416666667,61,14,20,10,17,1,1
5da23c68cf775d001724d361,0.39,Social,0.016956522,0.46,21,5.666666667,74,22,21,16,15,0,0
5dd48444dd9a7447d224cc71,1.14,Social,0.027142857,0.84,10,7,73,13,28,14,18,1,1
5e27868c5cbbcc0b3599574b,0.77,Social,0.028518519,0.54,19,5,59,16,15,13,15,1,1
5e31740eb3f28315c5e0d347,0.73,Social,0.03173913,0.469387755,17,5,59,16,13,14,16,1,0
5e3760815bfa436fd256b2e9,0.62,Social,0.023846154,0.52,27,4.416666667,61,17,20,13,11,1,1
5e5e9f949ec7440200735db7,0.72,Social,0.026666667,0.54,12,5.333333333,82,18,24,19,21,1,1
5e76742575ad9c0506e721bb,0.52,Social,0.0325,0.355555556,25,6.083333333,64,16,21,16,11,1,0
5ea3310bf9c4f828f0c909c5,1.2,Social,0.030769231,0.795918367,26,5.666666667,92,19,28,19,26,1,1
5ee1bc2e2be5f61f0eaf1713,0.69,Social,0.0276,0.5,19,5.333333333,65,16,23,12,14,0,0
5eeaff28cf5da71d691ef212,0.22,Social,0.0275,0.16,31,1.5,90,20,26,26,18,0,0
5ef76ff7d195c248bfe2511,1.22,Social,0.032105263,0.76,26,3.25,57,20,5,22,10,1,1
5f12b3a2791d172281e7d6a9,0.79,Social,0.028214286,0.56,16,5.416666667,77,21,27,13,16,1,1
5f18b5343b9a080d1e17db57,0.3,Social,0.027272727,0.22,33,4.416666667,75,27,20,6,22,1,0
5f248a2f46a10507b20d9f17,0.68,Social,0.032380952,0.42,30,4.083333333,54,14,12,14,14,1,0
5f2dc46d6fa1250ee8a1a15d,1.06,Social,0.035333333,0.612244898,11,6.5,60,19,16,8,17,0,1
5f3ac1732efa0a74f975b1a8,0.68,Social,0.022666667,0.6,4,6,36,1,9,0,26,1,1
5f4cc1ded01b151cbb03c0f8,0.89,Social,0.026969697,0.66,9,6.416666667,77,17,24,13,23,1,1
5f4ced34dbc54406d1684da0,1.25,Social,0.029761905,0.84,11,6.333333333,76,17,28,9,22,0,1
5f4ee0e82f0d6c12d692c29b,0.92,Social,0.027878788,0.66,21,4.583333333,71,17,23,19,12,0,1
